Dataset,Seed,Method,OS-HM
CICIDS2018,50,RFS,0.0
CICIDS2018,51,RFS,0.0092
Edge-IIoTset,42,RFS,0.0278
Edge-IIoTset,43,RFS,0.0047
Edge-IIoTset,44,RFS,0.0553
Edge-IIoTset,45,RFS,0.0
Edge-IIoTset,46,RFS,0.0144
Edge-IIoTset,47,RFS,0.0
Edge-IIoTset,48,RFS,0.0363
Edge-IIoTset,49,RFS,0.0258
Edge-IIoTset,50,RFS,0.0106
Edge-IIoTset,51,RFS,0.1248
CICIoT2023 (7-category),42,RFS,0.1273
CICIoT2023 (7-category),43,RFS,0.0369
CICIoT2023 (7-category),44,RFS,0.1002
CICIoT2023 (7-category),45,RFS,0.0712
CICIoT2023 (7-category),46,RFS,0.1553
CICIoT2023 (7-category),47,RFS,0.0828
CICIoT2023 (7-category),48,RFS,0.0315
CICIoT2023 (7-category),49,RFS,0.0839
CICIoT2023 (7-category),50,RFS,0.0704
CICIoT2023 (7-category),51,RFS,0.0061
NSL-KDD,42,RFS,0.1294
NSL-KDD,43,RFS,0.019
NSL-KDD,44,RFS,0.1735
NSL-KDD,45,RFS,0.078
NSL-KDD,46,RFS,0.077
NSL-KDD,47,RFS,0.0024
NSL-KDD,48,RFS,0.0015
NSL-KDD,49,RFS,0.012
NSL-KDD,50,RFS,0.0146
NSL-KDD,51,RFS,0.0871
